ts_ms,phase,val,pos_steps,spd_sps,sg_result,cs_actual,cur_a,cur_b,stall,otpw,ot,ola,olb
13,SPEED,1000,285766,805,0,26,245,-30,1,0,0,0,0
213,SPEED,1000,285908,7824,2,26,60,239,0,0,0,0,0
413,SPEED,1000,286069,11397,0,26,-37,-245,1,0,0,0,0
613,SPEED,1000,286226,14031,2,26,106,223,0,0,0,0,0
813,SPEED,1000,286384,16257,0,26,-148,-199,1,0,0,0,0
1013,SPEED,1000,286540,18189,2,26,212,126,0,0,0,0,0
1215,SPEED,1000,286696,19935,0,26,-245,-36,1,0,0,0,0
1415,SPEED,1000,286861,21628,4,26,199,146,0,0,0,0,0
1615,SPEED,1000,287018,23125,0,26,-234,-83,1,0,0,0,0
1815,SPEED,1000,287170,24487,2,26,223,-107,0,0,0,0,0
2015,SPEED,1000,287327,25819,0,26,-183,166,1,0,0,0,0
2215,SPEED,1000,287481,27061,2,26,59,-241,0,0,0,0,0
2415,SPEED,1000,287638,28272,2,26,12,247,0,0,0,0,0
2615,SPEED,1000,287792,29411,0,26,-148,-199,1,0,0,0,0
2815,SPEED,1000,287946,30507,2,26,233,82,0,0,0,0,0
3015,SPEED,1000,288102,31579,0,26,-248,12,1,0,0,0,0
3215,SPEED,1000,288272,32707,14,26,147,198,0,0,0,1,1
3415,SPEED,1000,288430,33722,14,26,-184,-166,0,0,0,1,1
3615,SPEED,1000,288587,34701,14,26,224,104,0,0,0,1,1
3815,SPEED,1000,288748,35677,14,26,-213,-127,0,0,0,1,1
4015,SPEED,1000,288905,36604,14,26,240,59,0,0,0,1,1
4215,SPEED,1000,289064,36376,14,26,-245,-36,0,0,0,1,1
4415,SPEED,1000,289223,35431,14,26,247,10,0,0,0,1,1
4615,SPEED,1000,289381,34467,14,26,-245,36,0,0,0,1,1
4815,SPEED,1000,289538,33481,14,26,223,-107,0,0,0,1,1
5015,SPEED,1000,289699,32439,14,26,-233,83,0,0,0,1,1
5215,SPEED,1000,289857,31383,14,26,211,-128,0,0,0,1,1
5415,SPEED,1000,290023,30233,14,26,-248,-11,0,0,0,1,1
5615,SPEED,1000,290180,29104,14,26,239,-61,0,0,0,1,1
5815,SPEED,1000,290337,27930,14,26,-212,127,0,0,0,1,1
6015,SPEED,1000,290494,26704,14,26,165,-184,0,0,0,1,1
6215,SPEED,1000,290651,25419,14,26,-105,224,0,0,0,1,1
6415,SPEED,1000,290812,24030,14,26,126,-213,0,0,0,1,1
6615,SPEED,1000,290969,22593,14,26,-60,240,0,0,0,1,1
6815,SPEED,1000,291126,21059,14,26,-13,-248,0,0,0,1,1
7015,SPEED,1000,291283,19403,14,26,83,232,0,0,0,1,1
7215,SPEED,1000,291440,17593,14,26,-148,-199,0,0,0,1,1
7415,SPEED,1000,291600,15532,14,26,147,198,0,0,0,1,1
7615,SPEED,1000,291757,13201,14,26,-200,-147,0,0,0,1,1
7815,SPEED,1000,291914,10358,14,26,233,82,0,0,0,1,1
8015,SPEED,1000,292072,6315,14,26,-245,-36,0,0,0,1,1
8215,DRIFT,1000,292176,200,14,26,147,198,0,0,0,1,1
8415,DRIFT,1000,292204,200,14,26,-213,-127,0,0,0,1,1
8615,DRIFT,1000,292232,200,14,26,244,35,0,0,0,1,1
8815,DRIFT,1000,292260,200,14,26,-240,60,0,0,0,1,1
9015,DRIFT,1000,292288,200,14,26,198,-148,0,0,0,1,1
9215,DRIFT,1000,292316,200,14,26,-127,212,0,0,0,1,1
9415,DRIFT,1000,292344,200,14,26,35,-245,0,0,0,1,1
9615,DRIFT,1000,292372,200,14,26,60,239,0,0,0,1,1
9815,DRIFT,1000,292401,200,14,26,-128,-212,0,0,0,1,1
10015,DRIFT,1000,292429,200,14,26,199,146,0,0,0,1,1
10215,DRIFT,1000,292456,200,14,26,-245,-36,0,0,0,1,1
10415,DRIFT,1000,292484,200,14,26,239,-61,0,0,0,1,1
10615,DRIFT,1000,292512,200,14,26,-199,147,0,0,0,1,1
10815,DRIFT,1000,292540,200,14,26,126,-213,0,0,0,1,1
11015,DRIFT,1000,292567,200,14,26,-11,247,0,0,0,1,1
11215,DRIFT,1000,292595,200,14,26,-84,-233,0,0,0,1,1
11415,DRIFT,1000,292622,200,14,26,183,165,0,0,0,1,1
11615,DRIFT,1000,292650,200,14,26,-234,-83,0,0,0,1,1
11815,DRIFT,1000,292678,200,14,26,247,-13,0,0,0,1,1
12015,DRIFT,1000,292706,200,14,26,-224,106,0,0,0,1,1
12215,DRIFT,1000,292734,200,14,26,165,-184,0,0,0,1,1
12415,DRIFT,1000,292762,200,14,26,-83,233,0,0,0,1,1
12615,DRIFT,1000,292789,200,14,26,-37,-245,0,0,0,1,1
12815,DRIFT,1000,292817,200,14,26,127,211,0,0,0,1,1
13015,DRIFT,1000,292844,200,14,26,-213,-127,0,0,0,1,1
