ts_ms,phase,val,pos_steps,spd_sps,sg_result,cs_actual,cur_a,cur_b,stall,otpw,ot,ola,olb
3445,SPEED,2000,309143,101910,120,28,75,235,0,0,0,0,0
3495,SPEED,2000,314322,103225,120,28,75,235,0,0,0,0,0
3545,SPEED,2000,319516,104575,120,28,75,235,0,0,0,0,0
3595,SPEED,2000,324783,105960,120,28,75,235,0,0,0,0,0
3645,SPEED,2000,330112,106666,120,28,75,235,0,0,0,0,0
3695,SPEED,2000,335446,106666,96,28,-135,-208,0,0,0,0,0
3745,SPEED,2000,340779,106666,96,28,-135,-208,0,0,0,0,0
3795,SPEED,2000,346112,106666,96,28,-135,-208,0,0,0,0,0
3845,SPEED,2000,351447,106666,96,28,-135,-208,0,0,0,0,0
3895,SPEED,2000,356779,106666,96,28,-135,-208,0,0,0,0,0
3946,SPEED,2100,362179,106666,96,28,-135,-208,0,0,0,0,0
3996,SPEED,2100,367558,107382,98,28,-105,-225,0,0,0,0,0
4046,SPEED,2100,372958,108843,98,28,-105,-225,0,0,0,0,0
4096,SPEED,2100,378432,110344,98,28,-105,-225,0,0,0,0,0
4146,SPEED,2100,383987,111888,98,28,-105,-225,0,0,0,0,0
4196,SPEED,2100,389580,111888,98,28,-105,-225,0,0,0,0,0
4246,SPEED,2100,395174,111888,98,28,-105,-225,0,0,0,0,0
4296,SPEED,2100,400768,111888,98,28,-105,-225,0,0,0,0,0
4346,SPEED,2100,406363,111888,78,28,234,-79,0,0,0,0,0
4396,SPEED,2100,411957,111888,78,28,234,-79,0,0,0,0,0
4447,SPEED,2200,417621,111888,78,28,234,-79,0,0,0,0,0
4497,SPEED,2200,423265,112676,78,28,234,-79,0,0,0,0,0
4547,SPEED,2200,428922,114285,78,28,234,-79,0,0,0,0,0
4597,SPEED,2200,434657,115107,78,28,234,-79,0,0,0,0,0
4647,SPEED,2200,440465,116788,68,28,72,236,0,0,0,0,0
4697,SPEED,2200,446342,117647,68,28,72,236,0,0,0,0,0
4747,SPEED,2200,452224,117647,68,28,72,236,0,0,0,0,0
4797,SPEED,2200,458049,117647,68,28,72,236,0,0,0,0,0
4847,SPEED,2200,463988,117647,68,28,72,236,0,0,0,0,0
4897,SPEED,2200,469876,117647,68,28,72,236,0,0,0,0,0
4948,SPEED,2300,475829,117647,68,28,72,236,0,0,0,0,0
4998,SPEED,2300,481756,118518,64,28,-247,-17,0,0,0,0,0
5048,SPEED,2300,487704,119402,64,28,-247,-17,0,0,0,0,0
5098,SPEED,2300,493733,121212,64,28,-247,-17,0,0,0,0,0
5148,SPEED,2300,499830,123076,64,28,-247,-17,0,0,0,0,0
5198,SPEED,2300,505984,123076,64,28,-247,-17,0,0,0,0,0
5248,SPEED,2300,512138,123076,64,28,-247,-17,0,0,0,0,0
5298,SPEED,2300,518295,123076,44,28,-114,219,0,0,0,0,0
5348,SPEED,2300,524446,123076,44,28,-114,219,0,0,0,0,0
5398,SPEED,2300,530600,123076,44,28,-114,219,0,0,0,0,0
5449,SPEED,2400,536829,123076,44,28,-114,219,0,0,0,0,0
5499,SPEED,2400,543031,123076,44,28,-114,219,0,0,0,0,0
5549,SPEED,2400,549242,125000,44,28,-114,219,0,0,0,0,0
5599,SPEED,2400,555540,126984,44,28,-114,219,0,0,0,0,0
5649,SPEED,2400,561912,128000,38,28,45,-244,0,0,0,0,0
5699,SPEED,2400,568314,128000,38,28,45,-244,0,0,0,0,0
5749,SPEED,2400,574711,128000,38,28,45,-244,0,0,0,0,0
5799,SPEED,2400,581111,128000,38,28,45,-244,0,0,0,0,0
5849,SPEED,2400,587511,128000,38,28,45,-244,0,0,0,0,0
5899,SPEED,2400,593913,128000,38,28,45,-244,0,0,0,0,0
5950,SPEED,2500,600391,128000,38,28,45,-244,0,0,0,0,0
6000,SPEED,2500,606840,128000,46,28,15,-247,0,0,0,0,0
6050,SPEED,2500,613305,130081,46,28,15,-247,0,0,0,0,0
6100,SPEED,2500,619841,131147,46,28,15,-247,0,0,0,0,0
6150,SPEED,2500,626459,133333,46,28,15,-247,0,0,0,0,0
6200,SPEED,2500,633125,133333,46,28,15,-247,0,0,0,0,0
6250,SPEED,2500,639793,133333,46,28,15,-247,0,0,0,0,0
6300,SPEED,2500,646461,133333,24,28,45,-244,0,0,0,0,0
6350,SPEED,2500,653126,133333,24,28,45,-244,0,0,0,0,0
6400,SPEED,2500,659792,133333,24,28,45,-244,0,0,0,0,0
