ts_ms,phase,val,pos_steps,spd_sps,sg_result,cs_actual,cur_a,cur_b,stall,otpw,ot,ola,olb
18,SPEED,300,8027,441,0,20,247,-5,1,0,0,0,0
218,SPEED,300,8167,4255,2,20,83,232,0,0,0,0,0
418,SPEED,300,8326,6201,0,20,-107,-224,1,0,0,0,0
618,SPEED,300,8475,7585,2,20,247,10,0,0,0,0,0
818,SPEED,300,8634,8825,0,20,-248,12,1,0,0,0,0
1018,SPEED,300,8796,9930,2,20,244,35,0,0,0,0,0
1218,SPEED,300,8953,10895,0,20,-245,36,1,0,0,0,0
1418,SPEED,300,9110,11781,2,20,0,0,0,0,0,0,0
1618,SPEED,300,9252,12529,2,20,147,198,0,0,0,0,0
1818,SPEED,300,9411,13316,0,20,-167,-183,1,0,0,0,0
2018,SPEED,300,9554,13986,2,20,165,-184,0,0,0,0,0
2218,SPEED,300,9711,14687,0,20,-105,224,1,0,0,0,0
2418,SPEED,300,9855,15302,0,20,-225,-105,1,0,0,0,0
2618,SPEED,300,10002,15905,2,20,165,-184,0,0,0,0,0
2818,SPEED,300,10159,16000,0,20,-105,224,1,0,0,0,0
3018,SPEED,300,10296,16000,0,20,-240,60,1,0,0,0,0
3218,SPEED,300,10453,16000,2,20,211,-128,0,0,0,0,0
3418,SPEED,300,10616,16000,0,20,-240,60,1,0,0,0,0
3618,SPEED,300,10797,16000,0,20,-60,240,1,0,0,0,0
3818,SPEED,300,10956,16000,2,20,35,-245,0,0,0,0,0
4018,SPEED,300,11119,16000,0,20,-105,224,1,0,0,0,0
4218,SPEED,300,11279,16000,2,20,104,-225,0,0,0,0,0
4418,SPEED,300,11445,16000,0,20,-212,127,1,0,0,0,0
4618,SPEED,300,11605,16000,2,20,211,-128,0,0,0,0,0
4818,SPEED,300,11781,16000,0,20,-128,-212,1,0,0,0,0
5018,SPEED,300,11947,16000,2,20,-11,247,0,0,0,0,0
5218,SPEED,300,12104,16000,0,20,-61,-240,1,0,0,0,0
5418,SPEED,300,12274,16000,0,20,-166,183,1,0,0,0,0
5618,SPEED,300,12432,15971,2,20,126,-213,0,0,0,0,0
5818,SPEED,300,12594,15309,0,20,-166,183,1,0,0,0,0
6018,SPEED,300,12755,14620,2,20,182,-167,0,0,0,0,0
6218,SPEED,300,12902,13962,2,20,106,223,0,0,0,0,0
6418,SPEED,300,13061,13214,0,20,-128,-212,1,0,0,0,0
6618,SPEED,300,13220,12420,2,20,147,198,0,0,0,0,0
6818,SPEED,300,13386,11533,0,20,-13,-248,1,0,0,0,0
7018,SPEED,300,13547,10602,2,20,-11,247,0,0,0,0,0
7218,SPEED,300,13712,9555,2,20,126,-213,0,0,0,0,0
7418,SPEED,300,13873,8408,0,20,-147,199,1,0,0,0,0
7618,SPEED,300,14031,7105,2,20,104,-225,0,0,0,0,0
7818,SPEED,300,14203,5336,0,20,-248,-11,1,0,0,0,0
8018,SPEED,300,14350,3108,2,20,82,-234,0,0,0,0,0
8218,DRIFT,300,14438,200,2,20,106,223,0,0,0,0,0
8418,DRIFT,300,14466,200,0,20,-184,-166,1,0,0,0,0
8618,DRIFT,300,14494,200,2,20,233,82,0,0,0,0,0
8818,DRIFT,300,14522,200,0,20,-248,12,1,0,0,0,0
9018,DRIFT,300,14550,200,2,20,223,-107,0,0,0,0,0
9218,DRIFT,300,14578,200,0,20,-166,183,1,0,0,0,0
9418,DRIFT,300,14608,200,2,20,126,-213,0,0,0,0,0
9618,DRIFT,300,14636,200,0,20,-36,244,1,0,0,0,0
9818,DRIFT,300,14665,200,0,20,-37,-245,1,0,0,0,0
10018,DRIFT,300,14689,200,2,20,199,146,0,0,0,0,0
10218,DRIFT,300,14717,200,0,20,-241,-60,1,0,0,0,0
