ts_ms,phase,val,pos_steps,spd_sps,real_rpm,sg_result,cs_actual,cur_a,cur_b,stall,otpw,ot,ola,olb
384559,LAUNCH_CW,2500,1052120,20330,0,28,28,-8,247,0,0,0,0,0
384609,LAUNCH_CW,2500,1053265,25437,0,28,28,-8,247,0,0,0,0,0
384659,LAUNCH_CW,2500,1054660,30360,0,28,28,-8,247,0,0,0,0,0
384709,LAUNCH_CW,2500,1056306,35476,0,28,28,-8,247,0,0,0,0,0
384759,LAUNCH_CW,2500,1058202,40404,0,28,28,-8,247,0,0,0,0,0
384809,LAUNCH_CW,2500,1060347,45325,0,28,28,-8,247,0,0,0,0,0
384859,LAUNCH_CW,2500,1062741,50314,0,28,28,-8,247,0,0,0,0,0
384909,LAUNCH_CW,2500,1065385,55363,0,470,28,-173,177,0,0,0,0,0
384959,LAUNCH_CW,2500,1068276,60377,0,470,28,-173,177,0,0,0,0,0
385009,LAUNCH_CW,2500,1071422,65306,0,470,28,-173,177,0,0,0,0,0
385059,LAUNCH_CW,2500,1074817,70484,0,470,28,-173,177,0,0,0,0,0
385109,LAUNCH_CW,2500,1078465,75471,0,470,28,-173,177,0,0,0,0,0
385159,LAUNCH_CW,2500,1082361,80402,0,470,28,-173,177,0,0,0,0,0
385209,LAUNCH_CW,2500,1086508,85561,0,188,28,-240,-62,0,0,0,0,0
385259,LAUNCH_CW,2500,1090905,90395,0,188,28,-240,-62,0,0,0,0,0
385309,LAUNCH_CW,2500,1095553,95238,0,188,28,-240,-62,0,0,0,0,0
385359,LAUNCH_CW,2500,1100447,100628,0,188,28,-240,-62,0,0,0,0,0
385409,LAUNCH_CW,2500,1105594,105263,0,188,28,-240,-62,0,0,0,0,0
385459,LAUNCH_CW,2500,1110994,110344,0,188,28,-240,-62,0,0,0,0,0
385509,LAUNCH_CW,2500,1116641,115107,0,188,28,-240,-62,0,0,0,0,0
385559,LAUNCH_CW,2500,1122535,120300,0,58,28,108,-223,0,0,0,0,0
385609,LAUNCH_CW,2500,1128682,125984,0,58,28,108,-223,0,0,0,0,0
385659,LAUNCH_CW,2500,1135065,130081,0,58,28,108,-223,0,0,0,0,0
385709,LAUNCH_CW,2500,1141714,133333,0,58,28,108,-223,0,0,0,0,0
385759,LAUNCH_CW,2500,1148381,133333,0,58,28,108,-223,0,0,0,0,0
385809,LAUNCH_CW,2500,1155047,133333,0,58,28,108,-223,0,0,0,0,0
385859,LAUNCH_CW,2500,1161714,133333,0,58,28,108,-223,0,0,0,0,0
385909,LAUNCH_CW,2500,1168381,133333,0,28,28,241,53,0,0,0,0,0
385959,LAUNCH_CW,2500,1175047,133333,0,28,28,241,53,0,0,0,0,0
386009,LAUNCH_CW,2500,1181713,133333,0,28,28,241,53,0,0,0,0,0
386059,LAUNCH_CW,2500,1188380,133333,0,28,28,241,53,0,0,0,0,0
386109,LAUNCH_CW,2500,1195047,133333,0,28,28,241,53,0,0,0,0,0
386159,LAUNCH_CW,2500,1201713,133333,0,28,28,241,53,0,0,0,0,0
386209,LAUNCH_CW,2500,1208380,133333,0,26,28,243,44,0,0,0,0,0
386259,LAUNCH_CW,2500,1214961,133333,0,26,28,243,44,0,0,0,0,0
386309,LAUNCH_CW,2500,1221714,133333,0,26,28,243,44,0,0,0,0,0
387862,LAUNCH_CW,2500,1319199,0,0,0,28,-13,-248,0,0,0,0,0
387912,LAUNCH_CW,2500,1319330,5284,0,0,28,-13,-248,0,0,0,1,1
387962,LAUNCH_CW,2500,1319716,10230,0,0,28,-13,-248,0,0,0,1,1
388012,LAUNCH_CW,2500,1320354,15267,0,0,28,-13,-248,0,0,0,1,1
388062,LAUNCH_CW,2500,1321243,20330,0,0,28,-13,-248,0,0,0,1,1
388112,LAUNCH_CW,2500,1322382,25236,0,0,28,-13,-248,0,0,0,1,1
388162,LAUNCH_CW,2500,1323771,30360,0,0,28,-13,-248,0,0,0,1,1
388212,LAUNCH_CW,2500,1325410,35320,0,72,28,-101,225,0,0,0,0,0
388262,LAUNCH_CW,2500,1327298,40201,0,72,28,-101,225,0,0,0,0,0
388312,LAUNCH_CW,2500,1329437,45325,0,72,28,-101,225,0,0,0,0,0
388362,LAUNCH_CW,2500,1331824,50314,0,72,28,-101,225,0,0,0,0,0
388412,LAUNCH_CW,2500,1334461,55172,0,72,28,-101,225,0,0,0,0,0
388462,LAUNCH_CW,2500,1337346,60150,0,72,28,-101,225,0,0,0,0,0
388512,LAUNCH_CW,2500,1340484,65306,0,310,28,-101,225,0,0,0,0,0
388562,LAUNCH_CW,2500,1343873,70484,0,310,28,242,-48,0,0,0,0,0
388612,LAUNCH_CW,2500,1347515,75471,0,310,28,242,-48,0,0,0,0,0
388662,LAUNCH_CW,2500,1351404,80402,0,310,28,242,-48,0,0,0,0,0
388713,LAUNCH_CW,2500,1355627,85561,0,310,28,242,-48,0,0,0,0,0
388763,LAUNCH_CW,2500,1360025,90395,9999,310,28,242,-48,0,0,0,0,0
388813,LAUNCH_CW,2500,1364670,95238,0,310,28,242,-48,0,0,0,0,0
388863,LAUNCH_CW,2500,1369563,100628,0,124,28,-238,69,0,0,0,0,0
388913,LAUNCH_CW,2500,1374709,105263,0,124,28,-238,69,0,0,0,0,0
388963,LAUNCH_CW,2500,1380107,110344,0,124,28,-238,69,0,0,0,0,0
389013,LAUNCH_CW,2500,1385752,115107,0,124,28,-238,69,0,0,0,0,0
389063,LAUNCH_CW,2500,1391644,120300,0,124,28,-238,69,0,0,0,0,0
389113,LAUNCH_CW,2500,1397779,125984,0,124,28,-238,69,0,0,0,0,0
389163,LAUNCH_CW,2500,1404191,130081,0,36,28,228,-96,0,0,0,0,0
389213,LAUNCH_CW,2500,1410820,133333,0,36,28,228,-96,0,0,0,0,0
389263,LAUNCH_CW,2500,1417485,133333,0,36,28,228,-96,0,0,0,0,0
389313,LAUNCH_CW,2500,1424152,133333,0,36,28,228,-96,0,0,0,0,0
389363,LAUNCH_CW,2500,1430818,133333,0,36,28,228,-96,0,0,0,0,0
389413,LAUNCH_CW,2500,1437486,133333,0,36,28,228,-96,0,0,0,0,0
389463,LAUNCH_CW,2500,1444151,133333,0,36,28,228,-96,0,0,0,0,0
389513,LAUNCH_CW,2500,1450818,133333,0,30,28,238,64,0,0,0,0,0
389563,LAUNCH_CW,2500,1457485,133333,0,30,28,238,64,0,0,0,0,0
389613,LAUNCH_CW,2500,1464151,133333,0,30,28,238,64,0,0,0,0,0
389663,LAUNCH_CW,2500,1470818,133333,0,30,28,238,64,0,0,0,0,0
389713,LAUNCH_CW,2500,1477485,133333,0,30,28,238,64,0,0,0,0,0
389763,LAUNCH_CW,2500,1484151,133333,0,30,28,238,64,0,0,0,0,0
389813,LAUNCH_CW,2500,1490820,133333,0,24,28,86,231,0,0,0,0,0
391366,LAUNCH_CW,2500,1588350,0,0,8,28,-247,-24,0,0,0,0,0
391416,LAUNCH_CW,2500,1588481,5284,0,8,28,-247,-24,0,0,0,0,0
391466,LAUNCH_CW,2500,1588867,10230,0,6,28,-166,-184,0,0,0,0,0
391516,LAUNCH_CW,2500,1589506,15267,0,6,28,-166,-184,0,0,0,0,0
391566,LAUNCH_CW,2500,1590395,20330,0,6,28,-166,-184,0,0,0,0,0
391616,LAUNCH_CW,2500,1591534,25236,0,6,28,-166,-184,0,0,0,0,0
391666,LAUNCH_CW,2500,1592922,30360,0,6,28,-166,-184,0,0,0,0,0
391716,LAUNCH_CW,2500,1594561,35320,0,6,28,-166,-184,0,0,0,0,0
391766,LAUNCH_CW,2500,1596450,40201,0,346,28,-166,-184,0,0,0,0,0
391816,LAUNCH_CW,2500,1598589,45325,0,346,28,-120,216,0,0,0,0,0
391866,LAUNCH_CW,2500,1600976,50314,0,346,28,-120,216,0,0,0,0,0
391916,LAUNCH_CW,2500,1603613,55172,0,346,28,-120,216,0,0,0,0,0
391966,LAUNCH_CW,2500,1606498,60150,0,346,28,-120,216,0,0,0,0,0
392016,LAUNCH_CW,2500,1609637,65306,0,346,28,-120,216,0,0,0,0,0
392066,LAUNCH_CW,2500,1613025,70484,0,346,28,-120,216,0,0,0,0,0
392116,LAUNCH_CW,2500,1616667,75471,0,258,28,15,246,0,0,0,0,0
392166,LAUNCH_CW,2500,1620557,80402,0,258,28,15,246,0,0,0,0,0
392216,LAUNCH_CW,2500,1624697,85106,0,258,28,15,246,0,0,0,0,0
392266,LAUNCH_CW,2500,1629088,90395,0,258,28,15,246,0,0,0,0,0
392316,LAUNCH_CW,2500,1633727,95238,0,258,28,15,246,0,0,0,0,0
392366,LAUNCH_CW,2500,1638616,100000,0,258,28,15,246,0,0,0,0,0
392416,LAUNCH_CW,2500,1643757,105263,0,118,28,15,246,0,0,0,0,0
392466,LAUNCH_CW,2500,1649151,110344,0,118,28,145,200,0,0,0,0,0
392516,LAUNCH_CW,2500,1654790,115107,0,118,28,145,200,0,0,0,0,0
392566,LAUNCH_CW,2500,1660678,120300,0,118,28,145,200,0,0,0,0,0
392616,LAUNCH_CW,2500,1666816,125984,0,118,28,145,200,0,0,0,0,0
392666,LAUNCH_CW,2500,1673216,130081,0,118,28,145,200,0,0,0,0,0
392716,LAUNCH_CW,2500,1679839,133333,0,118,28,145,200,0,0,0,0,0
392766,LAUNCH_CW,2500,1686505,133333,0,38,28,205,-138,0,0,0,0,0
392816,LAUNCH_CW,2500,1693174,133333,0,38,28,205,-138,0,0,0,0,0
392866,LAUNCH_CW,2500,1699840,133333,0,38,28,205,-138,0,0,0,0,0
392916,LAUNCH_CW,2500,1706505,133333,0,38,28,205,-138,0,0,0,0,0
392966,LAUNCH_CW,2500,1713172,133333,0,38,28,205,-138,0,0,0,0,0
393016,LAUNCH_CW,2500,1719839,133333,0,38,28,205,-138,0,0,0,0,0
393066,LAUNCH_CW,2500,1726505,133333,0,30,28,205,-138,0,0,0,0,0
393116,LAUNCH_CW,2500,1733172,133333,0,30,28,205,-138,0,0,0,0,0
393166,LAUNCH_CW,2500,1739838,133333,0,30,28,205,-138,0,0,0,0,0
393216,LAUNCH_CW,2500,1746458,133333,0,30,28,205,-138,0,0,0,0,0
393266,LAUNCH_CW,2500,1753173,133333,0,30,28,205,-138,0,0,0,0,0
393316,LAUNCH_CW,2500,1759839,133333,0,30,28,205,-138,0,0,0,0,0
394870,LAUNCH_CCW,2500,1857501,0,0,2,28,-238,67,0,0,0,0,0
394920,LAUNCH_CCW,2500,1857370,-5284,0,2,28,-238,67,0,0,0,0,0
394970,LAUNCH_CCW,2500,1856984,-10230,0,2,28,-238,67,0,0,0,0,0
395020,LAUNCH_CCW,2500,1856345,-15267,0,2,28,-238,67,0,0,0,0,0
395070,LAUNCH_CCW,2500,1855457,-20330,0,18,28,241,53,0,0,0,0,0
395120,LAUNCH_CCW,2500,1854317,-25236,0,18,28,241,53,0,0,0,0,0
395170,LAUNCH_CCW,2500,1852929,-30360,0,18,28,241,53,0,0,0,0,0
395220,LAUNCH_CCW,2500,1851290,-35320,0,18,28,241,53,0,0,0,0,0
395270,LAUNCH_CCW,2500,1849427,-40201,0,18,28,241,53,0,0,0,0,0
395320,LAUNCH_CCW,2500,1847262,-45325,0,18,28,241,53,0,0,0,0,0
395370,LAUNCH_CCW,2500,1844875,-50314,0,470,28,-93,229,0,0,0,0,0
395420,LAUNCH_CCW,2500,1842238,-55172,0,470,28,-93,229,0,0,0,0,0
395470,LAUNCH_CCW,2500,1839353,-60150,0,470,28,-93,229,0,0,0,0,0
395520,LAUNCH_CCW,2500,1836215,-65306,0,470,28,-93,229,0,0,0,0,0
395570,LAUNCH_CCW,2500,1832826,-70484,0,470,28,-93,229,0,0,0,0,0
395620,LAUNCH_CCW,2500,1829184,-75471,0,470,28,-93,229,0,0,0,0,0
395670,LAUNCH_CCW,2500,1825295,-80402,0,470,28,-93,229,0,0,0,0,0
395720,LAUNCH_CCW,2500,1821154,-85106,0,216,28,-153,-195,0,0,0,0,0
395770,LAUNCH_CCW,2500,1816763,-90395,0,216,28,-153,-195,0,0,0,0,0
395820,LAUNCH_CCW,2500,1812124,-95238,0,216,28,-153,-195,0,0,0,0,0
395870,LAUNCH_CCW,2500,1807235,-100000,0,216,28,-153,-195,0,0,0,0,0
395920,LAUNCH_CCW,2500,1802095,-105263,0,216,28,-153,-195,0,0,0,0,0
395970,LAUNCH_CCW,2500,1796702,-110344,0,216,28,-153,-195,0,0,0,0,0
396020,LAUNCH_CCW,2500,1791061,-115107,0,84,28,210,130,0,0,0,0,0
396070,LAUNCH_CCW,2500,1785172,-120300,0,84,28,210,130,0,0,0,0,0
396120,LAUNCH_CCW,2500,1779036,-125984,0,84,28,210,130,0,0,0,0,0
396170,LAUNCH_CCW,2500,1772635,-130081,0,84,28,210,130,0,0,0,0,0
396220,LAUNCH_CCW,2500,1766013,-133333,0,84,28,210,130,0,0,0,0,0
396270,LAUNCH_CCW,2500,1759346,-133333,0,84,28,210,130,0,0,0,0,0
396320,LAUNCH_CCW,2500,1752680,-133333,0,84,28,210,130,0,0,0,0,0
