ts_ms,phase,val,pos_steps,spd_sps,sg_result,cs_actual,cur_a,cur_b,stall,otpw,ot,ola,olb
15603,FINE,310,10602,13118,42,18,-105,224,0,0,0,0,0
15803,FINE,310,10761,12318,40,18,82,-234,0,0,0,0,0
16003,FINE,310,10918,11473,34,18,-11,247,0,0,0,0,0
16203,FINE,310,11077,10549,46,18,-13,-248,0,0,0,0,0
16403,FINE,310,11235,9542,36,18,60,239,0,0,0,0,0
16603,FINE,310,11397,8386,46,18,-13,-248,0,0,0,0,0
16803,FINE,310,11560,7033,68,18,-60,240,0,0,0,0,0
17003,FINE,310,11718,5407,44,18,10,-248,0,0,0,0,0
17203,FINE,310,11876,3003,36,18,36,244,0,0,0,0,0
21948,FINE,320,12802,441,0,18,-84,-233,1,0,0,0,0
22148,FINE,320,12953,4418,34,18,233,82,0,0,0,0,0
22348,FINE,320,13110,6293,42,18,-248,-11,0,0,0,0,0
22548,FINE,320,13268,7735,40,18,244,-37,0,0,0,0,0
22748,FINE,320,13425,8940,42,18,-224,106,0,0,0,0,0
22948,FINE,320,13585,10020,40,18,223,-107,0,0,0,0,0
23148,FINE,320,13740,10965,42,18,-147,199,0,0,0,0,0
23348,FINE,320,13897,11846,40,18,82,-234,0,0,0,0,0
23548,FINE,320,14057,12681,44,18,-83,233,0,0,0,0,0
23748,FINE,320,14214,13450,44,18,10,-248,0,0,0,0,0
23948,FINE,320,14374,14191,36,18,-11,247,0,0,0,0,0
24148,FINE,320,14532,13714,44,18,-37,-245,0,0,0,0,0
24348,FINE,320,14689,12961,36,18,106,223,0,0,0,0,0
24548,FINE,320,14850,12140,44,18,-84,-233,0,0,0,0,0
24748,FINE,320,15007,11282,36,18,147,198,0,0,0,0,0
24948,FINE,320,15167,10334,44,18,-148,-199,0,0,0,0,0
25148,FINE,320,15326,9298,36,18,166,182,0,0,0,0,0
25348,FINE,320,15483,8146,42,18,-213,-127,0,0,0,0,0
25548,FINE,320,15645,6754,36,18,183,165,0,0,0,0,0
25748,FINE,320,15803,5040,44,18,-213,-127,0,0,0,0,0
25948,FINE,320,15960,2304,36,18,240,59,0,0,0,0,0
26148,FINE,330,16094,3440,36,18,166,182,0,0,0,0,0
26348,FINE,330,16249,5628,42,18,-234,-83,0,0,0,0,0
26548,FINE,330,16410,7230,36,18,224,104,0,0,0,0,0
26748,FINE,330,16567,8507,42,18,-245,-36,0,0,0,0,0
26948,FINE,330,16727,9636,70,18,244,35,0,0,0,0,0
27148,FINE,330,16874,10567,42,18,-105,224,0,0,0,0,0
27348,FINE,330,17034,11495,56,18,104,-225,0,0,0,0,0
27548,FINE,330,17183,12297,0,18,147,198,1,0,0,0,0
27748,FINE,330,17325,13015,44,18,-166,183,0,0,0,0,0
27948,FINE,330,17482,13765,40,18,104,-225,0,0,0,0,0
28148,FINE,330,17638,14150,36,18,-11,247,0,0,0,0,0
28348,FINE,330,17799,13402,46,18,35,-245,0,0,0,0,0
28548,FINE,330,17956,12631,36,18,36,244,0,0,0,0,0
28748,FINE,330,18115,11797,44,18,-61,-240,0,0,0,0,0
28948,FINE,330,18273,10907,36,18,106,223,0,0,0,0,0
29148,FINE,330,18430,9943,44,18,-167,-183,0,0,0,0,0
29348,FINE,330,18587,8875,36,18,212,126,0,0,0,0,0
29548,FINE,330,18742,7677,44,18,-248,-11,0,0,0,0,0
29748,FINE,330,18899,6232,38,18,239,-61,0,0,0,0,0
29948,FINE,330,19059,4285,42,18,-240,60,0,0,0,0,0
30155,FINE,340,19204,441,46,18,-37,-245,0,0,0,0,0
30355,FINE,340,19355,4418,36,18,212,126,0,0,0,0,0
30555,FINE,340,19514,6314,44,18,-225,-105,0,0,0,0,0
30755,FINE,340,19671,7743,40,18,244,35,0,0,0,0,0
30955,FINE,340,19840,9032,44,18,-128,-212,0,0,0,0,0
31155,FINE,340,19998,10090,36,18,166,182,0,0,0,0,0
31355,FINE,340,20162,11081,44,18,-84,-233,0,0,0,0,0
31555,FINE,340,20322,11970,36,18,83,232,0,0,0,0,0
31755,FINE,340,20479,12782,44,18,-148,-199,0,0,0,0,0
31955,FINE,340,20643,13578,36,18,60,239,0,0,0,0,0
32155,FINE,340,20800,14299,46,18,-128,-212,0,0,0,0,0
32355,FINE,340,20963,13578,34,18,60,239,0,0,0,0,0
32555,FINE,340,21121,12812,46,18,-107,-224,0,0,0,0,0
32755,FINE,340,21278,12002,36,18,166,182,0,0,0,0,0
32955,FINE,340,21445,11076,44,18,-13,-248,0,0,0,0,0
33155,FINE,340,21602,10128,38,18,83,232,0,0,0,0,0
33355,FINE,340,21763,9054,44,18,-61,-240,0,0,0,0,0
33555,FINE,340,21921,7858,36,18,106,223,0,0,0,0,0
33755,FINE,340,22078,6454,44,18,-167,-183,0,0,0,0,0
33955,FINE,340,22240,4574,34,18,127,211,0,0,0,0,0
34155,FINE,340,22396,980,44,18,-200,-147,0,0,0,0,0
34355,FINE,350,22531,4055,44,18,-61,-240,0,0,0,0,0
34555,FINE,350,22688,6044,36,18,127,211,0,0,0,0,0
34755,FINE,350,22849,7559,42,18,-107,-224,0,0,0,0,0
34955,FINE,350,23009,8810,36,18,106,223,0,0,0,0,0
35155,FINE,350,23166,9885,46,18,-167,-183,0,0,0,0,0
35355,FINE,350,23328,10883,36,18,127,211,0,0,0,0,0
35555,FINE,350,23487,11781,44,18,-148,-199,0,0,0,0,0
35755,FINE,350,23648,12625,14,18,127,211,0,0,0,0,0
35955,FINE,350,23793,13340,42,18,-224,106,0,0,0,0,0
36155,FINE,350,23950,14073,40,18,182,-167,0,0,0,0,0
36355,FINE,350,24109,13830,78,18,-166,183,0,0,0,0,0
36555,FINE,350,24267,13079,40,18,126,-213,0,0,0,0,0
36755,FINE,350,24424,12286,42,18,-60,240,0,0,0,0,0
36955,FINE,350,24578,11456,46,18,-84,-233,0,0,0,0,0
37155,FINE,350,24735,10543,36,18,147,198,0,0,0,0,0
37355,FINE,350,24877,9642,42,18,-166,183,0,0,0,0,0
37555,FINE,350,25022,8627,42,18,-167,-183,0,0,0,0,0
37755,FINE,350,25179,7371,36,18,212,126,0,0,0,0,0
37955,FINE,350,25314,6087,36,18,83,232,0,0,0,0,0
38155,FINE,350,25471,4118,44,18,-148,-199,0,0,0,0,0
38361,FINE,360,25604,441,46,18,-37,-245,0,0,0,0,0
38561,FINE,360,25754,4403,36,18,224,104,0,0,0,0,0
38761,FINE,360,25911,6283,42,18,-245,-36,0,0,0,0,0
38961,FINE,360,26074,7768,36,18,224,104,0,0,0,0,0
39161,FINE,360,26231,8968,42,18,-245,-36,0,0,0,0,0
39361,FINE,360,26388,10026,40,18,244,-37,0,0,0,0,0
39561,FINE,360,26545,10983,42,18,-224,106,0,0,0,0,0
39761,FINE,360,26705,11879,40,18,223,-107,0,0,0,0,0
39961,FINE,360,26868,12726,44,18,-245,36,0,0,0,0,0
40161,FINE,360,27025,13493,40,18,223,-107,0,0,0,0,0
40361,FINE,360,27186,14236,44,18,-233,83,0,0,0,0,0
40561,FINE,360,27353,13625,44,18,233,82,0,0,0,0,0
40761,FINE,360,27510,12866,42,18,-248,-11,0,0,0,0,0
40961,FINE,360,27674,12023,36,18,224,104,0,0,0,0,0
41161,FINE,360,27836,11127,46,18,-200,-147,0,0,0,0,0
41361,FINE,360,27996,10166,36,18,199,146,0,0,0,0,0
41561,FINE,360,28153,9124,44,18,-234,-83,0,0,0,0,0
41761,FINE,360,28316,7899,36,18,199,146,0,0,0,0,0
41961,FINE,360,28476,6474,44,18,-200,-147,0,0,0,0,0
42161,FINE,360,28637,4616,36,18,183,165,0,0,0,0,0
42361,FINE,360,28794,1102,46,18,-225,-105,0,0,0,0,0
42561,FINE,370,28929,4023,44,18,-107,-224,0,0,0,0,0
42761,FINE,370,29087,6034,36,18,147,198,0,0,0,0,0
42961,FINE,370,29246,7534,44,18,-167,-183,0,0,0,0,0
43161,FINE,370,29408,8803,36,18,127,211,0,0,0,0,0
43361,FINE,370,29569,9904,54,18,-107,-224,0,0,0,0,0
43561,FINE,370,29726,10872,36,18,166,182,0,0,0,0,0
43761,FINE,370,29887,11781,44,18,-148,-199,0,0,0,0,0
43961,FINE,370,30045,12610,36,18,183,165,0,0,0,0,0
44161,FINE,370,30205,13398,50,18,-184,-166,0,0,0,0,0
44361,FINE,370,30366,14146,38,18,166,182,0,0,0,0,0
44561,FINE,370,30523,13765,46,18,-213,-127,0,0,0,0,0
44761,FINE,370,30685,12990,48,18,183,165,0,0,0,0,0
44961,FINE,370,30843,12187,44,18,-213,-127,0,0,0,0,0
45161,FINE,370,31003,11316,0,18,212,126,1,0,0,0,0
45361,FINE,370,31147,10470,42,18,-127,212,0,0,0,0,0
45561,FINE,370,31304,9462,0,18,59,-241,1,0,0,0,0
45761,FINE,370,31444,8462,40,18,244,-37,0,0,0,0,0
45961,FINE,370,31602,7168,44,18,-233,83,0,0,0,0,0
46161,FINE,370,31760,5582,40,18,211,-128,0,0,0,0,0
46361,FINE,370,31917,3327,42,18,-166,183,0,0,0,0,0
46561,FINE,380,32050,2465,40,18,-233,83,0,0,0,0,0
46761,FINE,380,32207,5116,40,18,198,-148,0,0,0,0,0
46961,FINE,380,32365,6811,42,18,-166,183,0,0,0,0,0
47161,FINE,380,32523,8162,40,18,126,-213,0,0,0,0,0
47361,FINE,380,32682,9325,44,18,-105,224,0,0,0,0,0
47561,FINE,380,32840,10353,40,18,59,-241,0,0,0,0,0
47761,FINE,380,32998,11287,36,18,-11,247,0,0,0,0,0
47961,FINE,380,33160,12171,40,18,59,-241,0,0,0,0,0
48161,FINE,380,33318,12975,36,18,-11,247,0,0,0,0,0
48361,FINE,380,33477,13737,44,18,-13,-248,0,0,0,0,0
48561,FINE,380,33637,14159,34,18,12,247,0,0,0,0,0
48761,FINE,380,33795,13426,46,18,-61,-240,0,0,0,0,0
48961,FINE,380,33958,12625,14,18,-11,247,0,0,0,0,0
49161,FINE,380,34106,11852,44,18,-225,-105,0,0,0,0,0
49361,FINE,380,34261,10983,40,18,247,-13,0,0,0,0,0
49561,FINE,380,34421,10007,42,18,-248,12,0,0,0,0,0
49761,FINE,380,34578,8947,38,18,232,-84,0,0,0,0,0
49961,FINE,380,34738,7718,42,18,-233,83,0,0,0,0,0
50161,FINE,380,34895,6283,40,18,198,-148,0,0,0,0,0
