ts_ms,phase,val,pos_steps,spd_sps,sg_result,cs_actual,cur_a,cur_b,stall,otpw,ot,ola,olb
3419,SPEED,2000,299222,101910,140,28,69,237,0,0,0,0,0
3469,SPEED,2000,304406,103225,114,28,-94,-229,0,0,0,0,0
3519,SPEED,2000,309596,104575,114,28,-94,-229,0,0,0,0,0
3569,SPEED,2000,314865,105960,114,28,-94,-229,0,0,0,0,0
3619,SPEED,2000,320195,106666,114,28,-94,-229,0,0,0,0,0
3669,SPEED,2000,325528,106666,114,28,-94,-229,0,0,0,0,0
3719,SPEED,2000,330862,106666,114,28,-94,-229,0,0,0,0,0
3769,SPEED,2000,336196,106666,114,28,-94,-229,0,0,0,0,0
3819,SPEED,2000,341528,106666,112,28,-81,233,0,0,0,0,0
3869,SPEED,2000,346861,106666,112,28,-81,233,0,0,0,0,0
3920,SPEED,2100,352254,106666,112,28,-81,233,0,0,0,0,0
3970,SPEED,2100,357640,107382,112,28,-81,233,0,0,0,0,0
4020,SPEED,2100,363040,108843,112,28,-81,233,0,0,0,0,0
4070,SPEED,2100,368515,110344,112,28,-81,233,0,0,0,0,0
4120,SPEED,2100,374071,111888,88,28,-81,233,0,0,0,0,0
4170,SPEED,2100,379664,111888,88,28,246,-24,0,0,0,0,0
4220,SPEED,2100,385257,111888,88,28,246,-24,0,0,0,0,0
4270,SPEED,2100,390851,111888,88,28,246,-24,0,0,0,0,0
4320,SPEED,2100,396446,111888,88,28,246,-24,0,0,0,0,0
4370,SPEED,2100,402041,111888,88,28,246,-24,0,0,0,0,0
4421,SPEED,2200,407697,111888,88,28,246,-24,0,0,0,0,0
4471,SPEED,2200,413349,112676,92,28,-158,190,0,0,0,0,0
4521,SPEED,2200,419008,114285,92,28,-158,190,0,0,0,0,0
4571,SPEED,2200,424746,115107,92,28,-158,190,0,0,0,0,0
4621,SPEED,2200,430558,116788,92,28,-158,190,0,0,0,0,0
4671,SPEED,2200,436436,117647,92,28,-158,190,0,0,0,0,0
4721,SPEED,2200,442320,117647,92,28,-158,190,0,0,0,0,0
4771,SPEED,2200,448204,117647,62,28,-158,190,0,0,0,0,0
4821,SPEED,2200,454083,117647,62,28,241,-52,0,0,0,0,0
4871,SPEED,2200,459966,117647,62,28,241,-52,0,0,0,0,0
4922,SPEED,2300,465912,117647,62,28,241,-52,0,0,0,0,0
4972,SPEED,2300,471848,117647,62,28,241,-52,0,0,0,0,0
5022,SPEED,2300,477792,119402,62,28,241,-52,0,0,0,0,0
5072,SPEED,2300,483814,121212,62,28,241,-52,0,0,0,0,0
5122,SPEED,2300,489906,123076,60,28,227,-98,0,0,0,0,0
5172,SPEED,2300,496059,123076,60,28,227,-98,0,0,0,0,0
5222,SPEED,2300,502211,123076,60,28,227,-98,0,0,0,0,0
5272,SPEED,2300,508365,123076,60,28,227,-98,0,0,0,0,0
5322,SPEED,2300,514519,123076,60,28,227,-98,0,0,0,0,0
5372,SPEED,2300,520673,123076,60,28,227,-98,0,0,0,0,0
5423,SPEED,2400,526894,123076,60,28,227,-98,0,0,0,0,0
5473,SPEED,2400,533104,123076,50,28,-200,146,0,0,0,0,0
5523,SPEED,2400,539319,125000,50,28,-200,146,0,0,0,0,0
5573,SPEED,2400,545621,126984,50,28,-200,146,0,0,0,0,0
5623,SPEED,2400,551996,128000,50,28,-200,146,0,0,0,0,0
5673,SPEED,2400,558395,128000,50,28,-200,146,0,0,0,0,0
5723,SPEED,2400,564795,128000,50,28,-200,146,0,0,0,0,0
5773,SPEED,2400,571195,128000,50,28,-200,146,0,0,0,0,0
5823,SPEED,2400,577596,128000,34,28,-93,-230,0,0,0,0,0
5873,SPEED,2400,583994,128000,34,28,-93,-230,0,0,0,0,0
5924,SPEED,2500,590493,128000,34,28,-93,-230,0,0,0,0,0
5974,SPEED,2500,596923,128000,34,28,-93,-230,0,0,0,0,0
6024,SPEED,2500,603389,130081,34,28,-93,-230,0,0,0,0,0
6074,SPEED,2500,609925,131147,34,28,-93,-230,0,0,0,0,0
6124,SPEED,2500,616542,133333,30,28,175,174,0,0,0,0,0
6174,SPEED,2500,623210,133333,30,28,175,174,0,0,0,0,0
6224,SPEED,2500,629878,133333,30,28,175,174,0,0,0,0,0
6274,SPEED,2500,636542,133333,30,28,175,174,0,0,0,0,0
6324,SPEED,2500,643212,133333,30,28,175,174,0,0,0,0,0
6374,SPEED,2500,649876,133333,30,28,175,174,0,0,0,0,0
375555,HUNT,581,2011033,62015,64,28,231,-87,0,0,0,0,0
376214,HUNT,769,2058490,82051,196,28,-247,-19,0,0,0,0,0
376867,HUNT,949,2118404,101265,510,28,-101,-226,0,0,0,0,0
377526,HUNT,1136,2191870,121212,390,28,-196,151,0,0,0,0,0
378167,HUNT,1316,2276000,140350,290,28,234,78,0,0,0,0,0
378854,HUNT,1515,2379947,161616,232,28,-1,247,0,0,0,0,0
379500,HUNT,1705,2490735,181818,156,28,183,-166,0,0,0,0,0
383582,HUNT,1807,3275460,192771,148,28,-168,181,0,0,0,0,0
387664,HUNT,1807,4062371,192771,140,28,141,202,0,0,0,0,0
391746,HUNT,1807,4849241,192771,126,28,-213,-127,0,0,0,0,0
399198,HUNT,600,2747646,32000,16,28,-58,240,0,0,0,0,0
400862,HUNT,600,1387702,16000,50,28,-243,47,0,0,0,0,0
401087,HUNT,800,1391952,21333,380,28,-42,243,0,0,0,0,0
401308,HUNT,1000,1397275,26666,380,28,-42,243,0,0,0,0,0
401515,HUNT,1200,1403287,32000,420,28,-232,-89,0,0,0,0,0
401709,HUNT,1399,1409978,37296,420,28,-232,-89,0,0,0,0,0
401890,HUNT,1579,1417089,42105,262,28,-200,146,0,0,0,0,0
402056,HUNT,1765,1424518,47197,262,28,-200,146,0,0,0,0,0
402222,HUNT,1948,1432713,51948,136,28,-93,-230,0,0,0,0,0
402387,HUNT,2135,1441705,56939,136,28,-93,-230,0,0,0,0,0
402557,HUNT,2326,1451863,62015,74,28,7,-248,0,0,0,0,0
404996,HUNT,600,760892,8000,6,28,-228,-98,0,0,0,0,0
405485,HUNT,600,381615,4000,10,28,80,233,0,0,0,0,0
405775,HUNT,600,191198,2000,4,28,-248,-8,0,0,0,0,0
405865,LAUNCH_CW,2326,1530472,0,4,28,-248,-8,0,0,0,0,0
405915,LAUNCH_CW,2326,1530609,5284,4,28,-248,-8,0,0,0,0,0
405965,LAUNCH_CW,2326,1531001,10423,4,28,-248,-8,0,0,0,0,0
406015,LAUNCH_CW,2326,1531645,15458,4,28,-248,-8,0,0,0,0,0
406065,LAUNCH_CW,2326,1532539,20330,310,28,-248,10,0,0,0,0,0
406115,LAUNCH_CW,2326,1533684,25437,310,28,-248,10,0,0,0,0,0
406165,LAUNCH_CW,2326,1535078,30360,310,28,-248,10,0,0,0,0,0
406215,LAUNCH_CW,2326,1536723,35476,310,28,-248,10,0,0,0,0,0
406265,LAUNCH_CW,2326,1538618,40404,310,28,-248,10,0,0,0,0,0
406315,LAUNCH_CW,2326,1540762,45325,310,28,-248,10,0,0,0,0,0
406365,LAUNCH_CW,2326,1543154,50314,10,28,72,-237,0,0,0,0,0
406415,LAUNCH_CW,2326,1545797,55363,10,28,72,-237,0,0,0,0,0
406465,LAUNCH_CW,2326,1548688,60377,10,28,72,-237,0,0,0,0,0
406515,LAUNCH_CW,2326,1551775,62015,10,28,72,-237,0,0,0,0,0
406565,LAUNCH_CW,2326,1554876,62015,10,28,72,-237,0,0,0,0,0
406615,LAUNCH_CW,2326,1557977,62015,10,28,72,-237,0,0,0,0,0
406665,LAUNCH_CW,2326,1561078,62015,10,28,72,-237,0,0,0,0,0
