ts_ms,phase,val,pos_steps,spd_sps,sg_result,cs_actual,cur_a,cur_b,stall,otpw,ot,ola,olb
17,SPEED,300,32856,441,6,26,-17,246,0,0,0,0,0
217,SPEED,300,33001,4330,0,26,-241,-60,1,0,0,0,0
417,SPEED,300,33161,6263,2,26,240,59,0,0,0,0,0
617,SPEED,300,33318,7702,0,26,-248,12,1,0,0,0,0
817,SPEED,300,33473,8897,2,26,211,-128,0,0,0,0,0
1017,SPEED,300,33631,9969,0,26,-183,166,1,0,0,0,0
1217,SPEED,300,33788,10930,2,26,126,-213,0,0,0,0,0
1417,SPEED,300,33946,11819,0,26,-83,233,1,0,0,0,0
1617,SPEED,300,34092,12585,0,26,-213,-127,1,0,0,0,0
1817,SPEED,300,34250,13364,2,26,233,82,0,0,0,0,0
2017,SPEED,300,34409,14105,0,26,-241,-60,1,0,0,0,0
2217,SPEED,300,34565,14796,2,26,244,-37,0,0,0,0,0
2417,SPEED,300,34722,15460,0,26,-224,106,1,0,0,0,0
2617,SPEED,300,34877,16000,2,26,146,-200,0,0,0,0,0
2817,SPEED,300,35035,16000,0,26,-105,224,1,0,0,0,0
3017,SPEED,300,35178,16000,0,26,-234,-83,1,0,0,0,0
3217,SPEED,300,35336,16000,2,26,244,35,0,0,0,0,0
3417,SPEED,300,35495,16000,0,26,-248,-11,1,0,0,0,0
3617,SPEED,300,35657,16000,2,26,240,59,0,0,0,0,0
3817,SPEED,300,35815,16000,0,26,-248,-11,1,0,0,0,0
4017,SPEED,300,35974,16000,2,26,247,-13,0,0,0,0,0
4217,SPEED,300,36131,16000,0,26,-233,83,1,0,0,0,0
4417,SPEED,300,36293,16000,2,26,244,-37,0,0,0,0,0
4617,SPEED,300,36453,16000,0,26,-245,36,1,0,0,0,0
4817,SPEED,300,36612,16000,2,26,239,-61,0,0,0,0,0
5017,SPEED,300,36774,16000,0,26,-248,12,1,0,0,0,0
5217,SPEED,300,36932,16000,2,26,239,-61,0,0,0,0,0
5417,SPEED,300,37096,16000,0,26,-245,-36,1,0,0,0,0
5617,SPEED,300,37258,15983,2,26,233,82,0,0,0,0,0
5817,SPEED,300,37416,15338,0,26,-245,-36,1,0,0,0,0
6017,SPEED,300,37576,14655,2,26,244,35,0,0,0,0,0
6217,SPEED,300,37733,13953,0,26,-245,36,1,0,0,0,0
6417,SPEED,300,37896,13185,2,26,244,35,0,0,0,0,0
6617,SPEED,300,38056,12384,0,26,-245,-36,1,0,0,0,0
6817,SPEED,300,38213,11544,2,26,244,-37,0,0,0,0,0
7017,SPEED,300,38373,10620,0,26,-245,36,1,0,0,0,0
7217,SPEED,300,38521,9688,2,26,59,-241,0,0,0,0,0
7417,SPEED,300,38679,8581,2,26,-11,247,0,0,0,0,0
7617,SPEED,300,38840,7283,2,26,35,-245,0,0,0,0,0
7817,SPEED,300,39000,5706,0,26,-36,244,1,0,0,0,0
8017,SPEED,300,39159,3495,0,26,10,-248,1,0,0,0,0
8217,DRIFT,300,39264,200,0,26,-199,147,1,0,0,0,0
8417,DRIFT,300,39294,200,2,26,165,-184,0,0,0,0,0
8617,DRIFT,300,39324,200,0,26,-127,212,1,0,0,0,0
8817,DRIFT,300,39354,200,2,26,82,-234,0,0,0,0,0
9017,DRIFT,300,39384,200,0,26,-36,244,1,0,0,0,0
9217,DRIFT,300,39414,200,0,26,-13,-248,1,0,0,0,0
9418,DRIFT,300,39444,200,2,26,60,239,0,0,0,0,0
9618,DRIFT,300,39474,200,0,26,-107,-224,1,0,0,0,0
9818,DRIFT,300,39504,200,2,26,147,198,0,0,0,0,0
10018,DRIFT,300,39532,200,0,26,-213,-127,1,0,0,0,0
10218,DRIFT,300,39562,200,2,26,233,82,0,0,0,0,0
10418,DRIFT,300,39590,200,0,26,-248,12,1,0,0,0,0
10618,DRIFT,300,39618,200,2,26,223,-107,0,0,0,0,0
10818,DRIFT,300,39649,200,0,26,-212,127,1,0,0,0,0
11018,DRIFT,300,39678,200,2,26,165,-184,0,0,0,0,0
11218,DRIFT,300,39708,200,0,26,-127,212,1,0,0,0,0
11418,DRIFT,300,39738,200,2,26,82,-234,0,0,0,0,0
11618,DRIFT,300,39769,200,0,26,-60,240,1,0,0,0,0
11818,DRIFT,300,39799,200,2,26,10,-248,0,0,0,0,0
12018,DRIFT,300,39829,200,2,26,36,244,0,0,0,0,0
12218,DRIFT,300,39859,200,0,26,-84,-233,1,0,0,0,0
12418,DRIFT,300,39889,200,2,26,127,211,0,0,0,0,0
12618,DRIFT,300,39919,200,0,26,-167,-183,1,0,0,0,0
12818,DRIFT,300,39949,200,2,26,199,146,0,0,0,0,0
13018,DRIFT,300,39978,200,0,26,-234,-83,1,0,0,0,0
