ts_ms,phase,val,pos_steps,spd_sps,real_rpm,sg_result,cs_actual,cur_a,cur_b,stall,otpw,ot,ola,olb
2458,HUNT,600,342973,64000,681,60,20,-108,-223,0,0,0,0,0
3396,HUNT,798,415073,85106,6666,114,20,-247,24,0,0,0,0,0
4293,HUNT,1000,502391,106666,8571,410,20,-118,-218,0,0,0,0,0
5135,HUNT,1200,601895,128000,8571,454,20,217,118,0,0,0,0,0
5923,HUNT,1402,711317,149532,9999,360,20,-190,158,0,0,0,0,0
6692,HUNT,1596,834174,170212,9999,224,20,-247,-22,0,0,0,0,0
7428,HUNT,1786,966570,190476,2068,190,20,-241,57,0,0,0,0,0
11831,HUNT,1807,1815055,192771,2068,164,20,-246,-27,0,0,0,0,0
16234,HUNT,1807,2664079,192771,9999,170,20,-132,-210,0,0,0,0,0
20637,HUNT,1807,3512851,192771,2068,166,20,-248,10,0,0,0,0,0
28472,HUNT,600,2089938,32000,5454,56,20,-188,-161,0,0,0,0,0
29149,HUNT,800,2116711,42666,6666,118,20,-235,79,0,0,0,0,0
29804,HUNT,1000,2149510,53333,1153,454,20,-225,-105,0,0,0,0,0
30442,HUNT,1200,2188175,64000,8571,406,20,73,-237,0,0,0,0,0
31044,HUNT,1402,2231036,74766,9999,336,20,-52,-242,0,0,0,0,0
31630,HUNT,1596,2278844,85106,9999,256,20,200,-146,0,0,0,0,0
32193,HUNT,1796,2330587,95808,9999,202,20,226,-100,0,0,0,0,0
32735,HUNT,2000,2386123,106666,2400,136,20,-131,-211,0,0,0,0,0
33253,HUNT,2206,2444720,117647,2608,94,20,171,178,0,0,0,0,0
33734,HUNT,2400,2504147,128000,2727,76,20,-216,-122,0,0,0,0,0
38927,HUNT,600,1398487,16000,5000,52,20,247,-4,0,0,0,0,0
39474,HUNT,800,1409590,21333,6666,132,20,127,211,0,0,0,0,0
40012,HUNT,1000,1423355,26666,8571,448,20,-114,-220,0,0,0,0,0
40540,HUNT,1200,1439660,32000,8571,428,20,80,233,0,0,0,0,0
41054,HUNT,1399,1458259,37296,9999,334,20,-67,-238,0,0,0,0,0
41556,HUNT,1600,1479081,42666,9999,222,20,-238,69,0,0,0,0,0
42048,HUNT,1802,1502109,48048,9999,172,20,-73,236,0,0,0,0,0
42524,HUNT,2000,1526905,53333,2307,130,20,-204,-141,0,0,0,0,0
42990,HUNT,2198,1553628,58608,2608,94,20,85,232,0,0,0,0,0
43450,HUNT,2400,1582447,64000,2857,60,20,-1,247,0,0,0,0,0
46282,HUNT,600,830053,8000,5000,50,20,-136,-207,0,0,0,0,0
46766,HUNT,800,835051,10666,6666,124,20,-245,35,0,0,0,0,0
47245,HUNT,1000,841271,13333,7500,452,20,227,97,0,0,0,0,0
47721,HUNT,1200,848721,16000,9999,468,20,85,232,0,0,0,0,0
48187,HUNT,1400,857242,18669,9999,336,20,-248,-5,0,0,0,0,0
48647,HUNT,1600,866888,21333,9999,250,20,-160,188,0,0,0,0,0
49101,HUNT,1799,877610,23988,9999,168,20,-242,-55,0,0,0,0,0
49551,HUNT,2000,889436,26666,2400,134,20,217,-118,0,0,0,0,0
49993,HUNT,2202,902241,29357,2608,100,20,142,201,0,0,0,0,0
50432,HUNT,2400,916111,32000,2727,60,20,-169,-181,0,0,0,0,0
52080,HUNT,600,468784,4000,5454,48,20,82,-234,0,0,0,0,0
52532,HUNT,800,471140,5333,6666,182,20,245,-34,0,0,0,0,0
52985,HUNT,1000,474101,6666,7500,448,20,-91,-231,0,0,0,0,0
53433,HUNT,1200,477628,8000,9999,472,20,-229,93,0,0,0,0,0
53877,HUNT,1400,481718,9334,9999,332,20,241,-52,0,0,0,0,0
54319,HUNT,1600,486377,10666,9999,224,20,-90,230,0,0,0,0,0
54756,HUNT,1800,491574,12003,9999,174,20,-238,-68,0,0,0,0,0
55194,HUNT,2000,497350,13333,2307,128,20,-248,-1,0,0,0,0,0
55627,HUNT,2200,503644,14665,2608,106,20,-217,119,0,0,0,0,0
56056,HUNT,2400,510453,16000,2857,64,20,-209,132,0,0,0,0,0
57102,HUNT,600,258399,2000,2727,14,20,-87,-232,0,0,0,0,0
57209,LAUNCH_CW,2400,4136144,0,2727,2,20,243,44,0,0,0,0,0
57259,LAUNCH_CW,2400,4136270,5092,2727,2,20,243,44,0,0,0,0,0
57309,LAUNCH_CW,2400,4136652,10230,2727,2,20,243,44,0,0,0,0,0
57359,LAUNCH_CW,2400,4137286,15267,2727,2,20,243,44,0,0,0,0,0
57409,LAUNCH_CW,2400,4138171,20151,3157,2,20,243,44,0,0,0,0,0
57459,LAUNCH_CW,2400,4139305,25236,3157,2,20,243,44,0,0,0,0,0
57509,LAUNCH_CW,2400,4140690,30131,3157,60,20,243,44,0,0,0,0,0
57559,LAUNCH_CW,2400,4142324,35320,5000,60,20,-98,227,0,0,0,0,0
57609,LAUNCH_CW,2400,4144208,40201,759,60,20,-98,227,0,0,0,0,0
57659,LAUNCH_CW,2400,4146342,45197,6666,60,20,-98,227,0,0,0,0,0
57709,LAUNCH_CW,2400,4148725,50156,7500,60,20,-98,227,0,0,0,0,0
57759,LAUNCH_CW,2400,4151358,55172,7500,60,20,-98,227,0,0,0,0,0
57809,LAUNCH_CW,2400,4154239,60150,8571,60,20,-98,227,0,0,0,0,0
57859,LAUNCH_CW,2400,4157372,65306,9999,432,20,-101,-226,0,0,0,0,0
57909,LAUNCH_CW,2400,4160757,70175,9999,432,20,-101,-226,0,0,0,0,0
57959,LAUNCH_CW,2400,4164394,75117,9999,432,20,-101,-226,0,0,0,0,0
58009,LAUNCH_CW,2400,4168279,80000,9999,432,20,-101,-226,0,0,0,0,0
58059,LAUNCH_CW,2400,4172416,85106,9999,432,20,-101,-226,0,0,0,0,0
58109,LAUNCH_CW,2400,4176800,90395,9999,432,20,-101,-226,0,0,0,0,0
58159,LAUNCH_CW,2400,4181437,95238,9999,432,20,-101,-226,0,0,0,0,0
58209,LAUNCH_CW,2400,4186320,100000,2142,172,20,237,-68,0,0,0,0,0
58259,LAUNCH_CW,2400,4191459,105263,2222,172,20,237,-68,0,0,0,0,0
58309,LAUNCH_CW,2400,4196847,110344,2307,172,20,237,-68,0,0,0,0,0
58359,LAUNCH_CW,2400,4202482,115107,2500,172,20,237,-68,0,0,0,0,0
58409,LAUNCH_CW,2400,4208365,120300,2608,172,20,237,-68,0,0,0,0,0
58459,LAUNCH_CW,2400,4214497,125000,2857,172,20,237,-68,0,0,0,0,0
58509,LAUNCH_CW,2400,4220866,128000,2857,80,20,237,-68,0,0,0,0,0
58559,LAUNCH_CW,2400,4227269,128000,2857,80,20,99,225,0,0,0,0,0
58609,LAUNCH_CW,2400,4233668,128000,2727,80,20,99,225,0,0,0,0,0
58659,LAUNCH_CW,2400,4240066,128000,2727,80,20,99,225,0,0,0,0,0
58709,LAUNCH_CW,2400,4246466,128000,2727,80,20,99,225,0,0,0,0,0
58759,LAUNCH_CW,2400,4252866,128000,2857,80,20,99,225,0,0,0,0,0
58809,LAUNCH_CW,2400,4259266,128000,2857,80,20,99,225,0,0,0,0,0
58859,LAUNCH_CW,2400,4265635,128000,2857,74,20,119,216,0,0,0,0,0
58909,LAUNCH_CW,2400,4272068,128000,2727,74,20,119,216,0,0,0,0,0
58959,LAUNCH_CW,2400,4278466,128000,2727,74,20,119,216,0,0,0,0,0
59009,LAUNCH_CW,2400,4284866,128000,2727,74,20,119,216,0,0,0,0,0
59059,LAUNCH_CW,2400,4291187,128000,2857,74,20,119,216,0,0,0,0,0
59109,LAUNCH_CW,2400,4297666,128000,2727,74,20,119,216,0,0,0,0,0
59159,LAUNCH_CW,2400,4304066,128000,2727,74,20,119,216,0,0,0,0,0
60661,LAUNCH_CW,2400,4394585,0,2068,2,20,153,193,0,0,0,0,0
60714,LAUNCH_CW,2400,4394726,5471,2068,2,20,153,193,0,0,0,0,0
60764,LAUNCH_CW,2400,4395125,10423,2068,2,20,153,193,0,0,0,0,0
60814,LAUNCH_CW,2400,4395773,15458,2068,16,20,153,193,0,0,0,0,0
60864,LAUNCH_CW,2400,4396673,20539,2068,16,20,229,-93,0,0,0,0,0
60914,LAUNCH_CW,2400,4397826,25437,3750,16,20,229,-93,0,0,0,0,0
60964,LAUNCH_CW,2400,4399222,30592,3750,16,20,229,-93,0,0,0,0,0
61014,LAUNCH_CW,2400,4400871,35476,5454,16,20,229,-93,0,0,0,0,0
61064,LAUNCH_CW,2400,4402771,40404,5454,16,20,229,-93,0,0,0,0,0
61114,LAUNCH_CW,2400,4404920,45584,6666,16,20,229,-93,0,0,0,0,0
61164,LAUNCH_CW,2400,4407318,50473,8571,212,20,-118,-218,0,0,0,0,0
61214,LAUNCH_CW,2400,4409965,55363,1111,212,20,-118,-218,0,0,0,0,0
61264,LAUNCH_CW,2400,4412861,60377,7500,212,20,-118,-218,0,0,0,0,0
61314,LAUNCH_CW,2400,4416010,65306,9999,212,20,-118,-218,0,0,0,0,0
61364,LAUNCH_CW,2400,4419410,70484,1463,212,20,-118,-218,0,0,0,0,0
61414,LAUNCH_CW,2400,4423062,75471,9999,212,20,-118,-218,0,0,0,0,0
61464,LAUNCH_CW,2400,4426963,80402,9999,268,20,-118,-218,0,0,0,0,0
61514,LAUNCH_CW,2400,4431114,85561,1714,268,20,145,200,0,0,0,0,0
61564,LAUNCH_CW,2400,4435514,90395,1875,268,20,145,200,0,0,0,0,0
61614,LAUNCH_CW,2400,4440167,95238,9999,268,20,145,200,0,0,0,0,0
61664,LAUNCH_CW,2400,4445065,100628,2222,268,20,145,200,0,0,0,0,0
61714,LAUNCH_CW,2400,4450215,105960,2222,268,20,145,200,0,0,0,0,0
61764,LAUNCH_CW,2400,4455619,110344,2400,268,20,145,200,0,0,0,0,0
61814,LAUNCH_CW,2400,4461270,115107,2500,2,20,-67,238,0,0,0,0,0
61864,LAUNCH_CW,2400,4467168,120300,2608,2,20,-67,238,0,0,0,0,0
61914,LAUNCH_CW,2400,4473318,125984,2608,2,20,-67,238,0,0,0,0,0
61964,LAUNCH_CW,2400,4479693,128000,2857,2,20,-67,238,0,0,0,0,0
62014,LAUNCH_CW,2400,4486094,128000,2857,2,20,-67,238,0,0,0,0,0
62064,LAUNCH_CW,2400,4492493,128000,2857,2,20,-67,238,0,0,0,0,0
62114,LAUNCH_CW,2400,4498893,128000,3000,2,20,-67,238,0,0,0,0,0
62164,LAUNCH_CW,2400,4505293,128000,2727,58,20,-208,134,0,0,0,0,0
62214,LAUNCH_CW,2400,4511695,128000,2857,58,20,-208,134,0,0,0,0,0
62264,LAUNCH_CW,2400,4518093,128000,2727,58,20,-208,134,0,0,0,0,0
62314,LAUNCH_CW,2400,4524493,128000,2727,58,20,-208,134,0,0,0,0,0
62364,LAUNCH_CW,2400,4530896,128000,2727,58,20,-208,134,0,0,0,0,0
62414,LAUNCH_CW,2400,4537294,128000,2727,58,20,-208,134,0,0,0,0,0
62464,LAUNCH_CW,2400,4543693,128000,2727,62,20,-211,130,0,0,0,0,0
62514,LAUNCH_CW,2400,4550093,128000,2727,62,20,-211,130,0,0,0,0,0
62564,LAUNCH_CW,2400,4556493,128000,2727,62,20,-211,130,0,0,0,0,0
62614,LAUNCH_CW,2400,4562893,128000,2727,62,20,-211,130,0,0,0,0,0
64113,LAUNCH_CW,2400,4653026,0,329,0,20,-105,224,0,0,0,0,1
64163,LAUNCH_CW,2400,4653152,5092,226,0,20,-105,224,0,0,0,0,1
64213,LAUNCH_CW,2400,4653534,10230,226,0,20,-105,224,0,0,0,0,1
64263,LAUNCH_CW,2400,4654168,15267,226,0,20,-105,224,0,0,0,0,1
64313,LAUNCH_CW,2400,4655052,20151,226,0,20,-105,224,0,0,0,0,1
64363,LAUNCH_CW,2400,4656187,25236,306,0,20,-105,224,0,0,0,0,1
64413,LAUNCH_CW,2400,4657571,30131,4285,46,20,-105,224,0,0,0,0,1
64463,LAUNCH_CW,2400,4659205,35320,4285,46,20,244,36,0,0,0,0,0
64513,LAUNCH_CW,2400,4661089,40201,6000,46,20,244,36,0,0,0,0,0
64563,LAUNCH_CW,2400,4663223,45197,7500,46,20,244,36,0,0,0,0,0
64613,LAUNCH_CW,2400,4665606,50156,7500,46,20,244,36,0,0,0,0,0
64663,LAUNCH_CW,2400,4668238,55172,7500,46,20,244,36,0,0,0,0,0
64713,LAUNCH_CW,2400,4671119,60150,8571,46,20,244,36,0,0,0,0,0
64763,LAUNCH_CW,2400,4674253,65306,9999,428,20,-183,-167,0,0,0,0,0
64813,LAUNCH_CW,2400,4677637,70175,9999,428,20,-183,-167,0,0,0,0,0
64863,LAUNCH_CW,2400,4681274,75117,9999,428,20,-183,-167,0,0,0,0,0
64913,LAUNCH_CW,2400,4685160,80000,1666,428,20,-183,-167,0,0,0,0,0
64963,LAUNCH_CW,2400,4689297,85106,9999,428,20,-183,-167,0,0,0,0,0
65013,LAUNCH_CW,2400,4693681,90395,9999,428,20,-183,-167,0,0,0,0,0
65063,LAUNCH_CW,2400,4698317,95238,2000,428,20,-183,-167,0,0,0,0,0
65113,LAUNCH_CW,2400,4703200,100000,2068,174,20,-248,-5,0,0,0,0,0
65163,LAUNCH_CW,2400,4708337,105263,2222,174,20,-248,-5,0,0,0,0,0
65213,LAUNCH_CW,2400,4713677,110344,2222,174,20,-248,-5,0,0,0,0,0
65263,LAUNCH_CW,2400,4719364,115107,2400,174,20,-248,-5,0,0,0,0,0
65313,LAUNCH_CW,2400,4725244,120300,2500,174,20,-248,-5,0,0,0,0,0
65363,LAUNCH_CW,2400,4731377,125000,2608,174,20,-248,-5,0,0,0,0,0
65413,LAUNCH_CW,2400,4737747,128000,2857,58,20,-247,26,0,0,0,0,0
65463,LAUNCH_CW,2400,4744146,128000,2727,58,20,-247,26,0,0,0,0,0
65513,LAUNCH_CW,2400,4750546,128000,2857,58,20,-247,26,0,0,0,0,0
65563,LAUNCH_CW,2400,4756946,128000,2857,58,20,-247,26,0,0,0,0,0
65613,LAUNCH_CW,2400,4763346,128000,2857,58,20,-247,26,0,0,0,0,0
65663,LAUNCH_CW,2400,4769746,128000,2857,58,20,-247,26,0,0,0,0,0
65713,LAUNCH_CW,2400,4776145,128000,2857,58,20,-247,26,0,0,0,0,0
65763,LAUNCH_CW,2400,4782546,128000,2857,60,20,-196,151,0,0,0,0,0
65813,LAUNCH_CW,2400,4788947,128000,2857,60,20,-196,151,0,0,0,0,0
65863,LAUNCH_CW,2400,4795346,128000,2857,60,20,-196,151,0,0,0,0,0
65913,LAUNCH_CW,2400,4801746,128000,2857,60,20,-196,151,0,0,0,0,0
65963,LAUNCH_CW,2400,4808146,128000,2727,60,20,-196,151,0,0,0,0,0
66013,LAUNCH_CW,2400,4814546,128000,2857,60,20,-196,151,0,0,0,0,0
66063,LAUNCH_CW,2400,4820945,128000,2857,64,20,-196,151,0,0,0,0,0
67566,LAUNCH_CCW,2400,4911467,0,3750,2,20,219,-114,0,0,0,0,0
67616,LAUNCH_CCW,2400,4911337,-5284,3750,2,20,219,-114,0,0,0,0,0
67666,LAUNCH_CCW,2400,4910951,-10230,3750,2,20,219,-114,0,0,0,0,0
67716,LAUNCH_CCW,2400,4910314,-15267,3750,10,20,-68,-238,0,0,0,0,0
67766,LAUNCH_CCW,2400,4909425,-20330,3750,10,20,-68,-238,0,0,0,0,0
67816,LAUNCH_CCW,2400,4908287,-25236,3529,10,20,-68,-238,0,0,0,0,0
67866,LAUNCH_CCW,2400,4906899,-30360,3529,10,20,-68,-238,0,0,0,0,0
67916,LAUNCH_CCW,2400,4905260,-35320,5454,10,20,-68,-238,0,0,0,0,0
67966,LAUNCH_CCW,2400,4903372,-40201,5454,10,20,-68,-238,0,0,0,0,0
68016,LAUNCH_CCW,2400,4901235,-45197,6666,290,20,-118,-218,0,0,0,0,0
68066,LAUNCH_CCW,2400,4898848,-50314,8571,290,20,-118,-218,0,0,0,0,0
68116,LAUNCH_CCW,2400,4896212,-55172,8571,290,20,-118,-218,0,0,0,0,0
68166,LAUNCH_CCW,2400,4893327,-60150,9999,290,20,-118,-218,0,0,0,0,0
68216,LAUNCH_CCW,2400,4890190,-65306,9999,290,20,-118,-218,0,0,0,0,0
68266,LAUNCH_CCW,2400,4886801,-70175,9999,290,20,-118,-218,0,0,0,0,0
68316,LAUNCH_CCW,2400,4883160,-75471,1538,290,20,-118,-218,0,0,0,0,0
68366,LAUNCH_CCW,2400,4879271,-80402,9999,314,20,-4,-248,0,0,0,0,0
68416,LAUNCH_CCW,2400,4875131,-85106,1714,314,20,-4,-248,0,0,0,0,0
68466,LAUNCH_CCW,2400,4870742,-90395,9999,314,20,-4,-248,0,0,0,0,0
68516,LAUNCH_CCW,2400,4866103,-95238,9999,314,20,-4,-248,0,0,0,0,0
68566,LAUNCH_CCW,2400,4861215,-100000,2068,314,20,-4,-248,0,0,0,0,0
68616,LAUNCH_CCW,2400,4856075,-105263,2142,314,20,-4,-248,0,0,0,0,0
68666,LAUNCH_CCW,2400,4850900,-110344,2307,124,20,141,202,0,0,0,0,0
68716,LAUNCH_CCW,2400,4845042,-115107,2400,124,20,141,202,0,0,0,0,0
68766,LAUNCH_CCW,2400,4839156,-120300,2500,124,20,141,202,0,0,0,0,0
68816,LAUNCH_CCW,2400,4833019,-125984,2727,124,20,141,202,0,0,0,0,0
68866,LAUNCH_CCW,2400,4826648,-128000,2727,124,20,141,202,0,0,0,0,0
68916,LAUNCH_CCW,2400,4820248,-128000,2727,124,20,141,202,0,0,0,0,0
68966,LAUNCH_CCW,2400,4813848,-128000,2727,124,20,141,202,0,0,0,0,0
69016,LAUNCH_CCW,2400,4807448,-128000,2727,58,20,126,-213,0,0,0,0,0
69066,LAUNCH_CCW,2400,4801048,-128000,2727,58,20,126,-213,0,0,0,0,0
69116,LAUNCH_CCW,2400,4794646,-128000,2857,58,20,126,-213,0,0,0,0,0
69166,LAUNCH_CCW,2400,4788247,-128000,2727,58,20,126,-213,0,0,0,0,0
69216,LAUNCH_CCW,2400,4781848,-128000,2727,58,20,126,-213,0,0,0,0,0
