ts_ms,phase,val,pos_steps,spd_sps,sg_result,cs_actual,cur_a,cur_b,stall,otpw,ot,ola,olb
3419,SPEED,2000,301125,101910,130,28,-43,243,0,0,0,0,0
3469,SPEED,2000,306311,103225,130,28,-43,243,0,0,0,0,0
3519,SPEED,2000,311499,104575,130,28,-43,243,0,0,0,0,0
3569,SPEED,2000,316769,105960,130,28,-43,243,0,0,0,0,0
3619,SPEED,2000,322097,106666,130,28,-43,243,0,0,0,0,0
3669,SPEED,2000,327430,106666,130,28,-43,243,0,0,0,0,0
3719,SPEED,2000,332763,106666,100,28,60,-240,0,0,0,0,0
3769,SPEED,2000,338097,106666,100,28,60,-240,0,0,0,0,0
3819,SPEED,2000,343430,106666,100,28,60,-240,0,0,0,0,0
3869,SPEED,2000,348764,106666,100,28,60,-240,0,0,0,0,0
3920,SPEED,2100,354161,106666,100,28,60,-240,0,0,0,0,0
3970,SPEED,2100,359544,107382,100,28,60,-240,0,0,0,0,0
4020,SPEED,2100,364942,108843,98,28,-238,69,0,0,0,0,0
4070,SPEED,2100,370417,110344,98,28,-238,69,0,0,0,0,0
4120,SPEED,2100,375970,111888,98,28,-238,69,0,0,0,0,0
4170,SPEED,2100,381566,111888,98,28,-238,69,0,0,0,0,0
4220,SPEED,2100,387159,111888,98,28,-238,69,0,0,0,0,0
4270,SPEED,2100,392753,111888,98,28,-238,69,0,0,0,0,0
4320,SPEED,2100,398347,111888,98,28,-238,69,0,0,0,0,0
4370,SPEED,2100,403942,111888,86,28,-96,228,0,0,0,0,0
4421,SPEED,2200,409603,111888,86,28,-96,228,0,0,0,0,0
4471,SPEED,2200,415252,112676,86,28,-96,228,0,0,0,0,0
4521,SPEED,2200,420909,114285,86,28,-96,228,0,0,0,0,0
4571,SPEED,2200,426649,115107,86,28,-96,228,0,0,0,0,0
4621,SPEED,2200,432459,116788,86,28,-96,228,0,0,0,0,0
4671,SPEED,2200,438338,117647,62,28,-79,234,0,0,0,0,0
4721,SPEED,2200,444220,117647,62,28,-79,234,0,0,0,0,0
4771,SPEED,2200,450102,117647,62,28,-79,234,0,0,0,0,0
4821,SPEED,2200,455985,117647,62,28,-79,234,0,0,0,0,0
4871,SPEED,2200,461867,117647,62,28,-79,234,0,0,0,0,0
4922,SPEED,2300,467820,117647,62,28,-79,234,0,0,0,0,0
4972,SPEED,2300,473752,117647,62,28,-79,234,0,0,0,0,0
5022,SPEED,2300,479694,119402,64,28,-60,-241,0,0,0,0,0
5072,SPEED,2300,485715,121212,64,28,-60,-241,0,0,0,0,0
5122,SPEED,2300,491805,123076,64,28,-60,-241,0,0,0,0,0
5172,SPEED,2300,497959,123076,64,28,-60,-241,0,0,0,0,0
5222,SPEED,2300,504113,123076,64,28,-60,-241,0,0,0,0,0
5272,SPEED,2300,510267,123076,64,28,-60,-241,0,0,0,0,0
5322,SPEED,2300,516362,123076,56,28,244,39,0,0,0,0,0
5372,SPEED,2300,522576,123076,56,28,244,39,0,0,0,0,0
5423,SPEED,2400,528801,123076,56,28,244,39,0,0,0,0,0
5473,SPEED,2400,535007,123076,56,28,244,39,0,0,0,0,0
5523,SPEED,2400,541143,125000,56,28,244,39,0,0,0,0,0
5573,SPEED,2400,547523,126984,56,28,244,39,0,0,0,0,0
5623,SPEED,2400,553897,128000,56,28,244,39,0,0,0,0,0
5673,SPEED,2400,560296,128000,38,28,165,-184,0,0,0,0,0
5723,SPEED,2400,566696,128000,38,28,165,-184,0,0,0,0,0
5773,SPEED,2400,573096,128000,38,28,165,-184,0,0,0,0,0
5823,SPEED,2400,579496,128000,38,28,165,-184,0,0,0,0,0
5873,SPEED,2400,585896,128000,38,28,165,-184,0,0,0,0,0
5924,SPEED,2500,592392,128000,38,28,165,-184,0,0,0,0,0
5974,SPEED,2500,598824,128000,38,28,165,-184,0,0,0,0,0
6024,SPEED,2500,605291,130081,38,28,178,-173,0,0,0,0,0
6074,SPEED,2500,611826,131147,38,28,178,-173,0,0,0,0,0
6124,SPEED,2500,618444,133333,38,28,178,-173,0,0,0,0,0
6174,SPEED,2500,625110,133333,38,28,178,-173,0,0,0,0,0
6224,SPEED,2500,631777,133333,38,28,178,-173,0,0,0,0,0
6274,SPEED,2500,638443,133333,38,28,178,-173,0,0,0,0,0
6324,SPEED,2500,645110,133333,22,28,245,-30,0,0,0,0,0
6374,SPEED,2500,651777,133333,22,28,245,-30,0,0,0,0,0
