ts_ms,phase,val,pos_steps,spd_sps,sg_result,cs_actual,cur_a,cur_b,stall,otpw,ot,ola,olb
747,HUNT,200,1956606,21333,12,28,-156,192,0,0,0,0,0
1892,HUNT,200,984840,10666,2,28,247,-14,0,0,0,0,0
2515,HUNT,200,494336,5333,2,28,-71,237,0,0,0,0,0
2873,HUNT,200,247781,2665,2,28,162,-187,0,0,0,0,0
3100,HUNT,200,124109,1333,2,28,-140,204,0,0,0,0,0
3261,HUNT,200,62143,666,2,28,-140,204,0,0,0,0,0
3311,LAUNCH_CW,2000,994627,892,2,28,-140,204,0,0,0,0,0
3361,LAUNCH_CW,2000,994797,6024,4,28,165,183,0,0,0,0,0
3411,LAUNCH_CW,2000,995221,10989,4,28,165,183,0,0,0,0,0
3461,LAUNCH_CW,2000,995896,16032,4,28,165,183,0,0,0,0,0
3511,LAUNCH_CW,2000,996823,21136,4,28,165,183,0,0,0,0,0
3561,LAUNCH_CW,2000,997999,26016,4,28,165,183,0,0,0,0,0
3611,LAUNCH_CW,2000,999425,30947,4,28,165,183,0,0,0,0,0
3661,LAUNCH_CW,2000,1001101,36036,4,28,165,183,0,0,0,0,0
3711,LAUNCH_CW,2000,1003027,41025,262,28,-238,70,0,0,0,0,0
3761,LAUNCH_CW,2000,1005203,45977,262,28,-238,70,0,0,0,0,0
3811,LAUNCH_CW,2000,1007627,51118,262,28,-238,70,0,0,0,0,0
3861,LAUNCH_CW,2000,1010301,56140,262,28,-238,70,0,0,0,0,0
3911,LAUNCH_CW,2000,1013225,61068,262,28,-238,70,0,0,0,0,0
3961,LAUNCH_CW,2000,1016400,66115,262,28,-238,70,0,0,0,0,0
4011,LAUNCH_CW,2000,1019827,71111,278,28,-140,-205,0,0,0,0,0
4061,LAUNCH_CW,2000,1023472,76190,278,28,-140,-205,0,0,0,0,0
4111,LAUNCH_CW,2000,1027433,81218,278,28,-140,-205,0,0,0,0,0
4161,LAUNCH_CW,2000,1031610,86021,278,28,-140,-205,0,0,0,0,0
4211,LAUNCH_CW,2000,1036037,90909,278,28,-140,-205,0,0,0,0,0
4261,LAUNCH_CW,2000,1040714,95808,278,28,-140,-205,0,0,0,0,0
4311,LAUNCH_CW,2000,1045640,101265,278,28,-140,-205,0,0,0,0,0
4361,LAUNCH_CW,2000,1050819,105960,118,28,153,193,0,0,0,0,0
4411,LAUNCH_CW,2000,1056151,106666,118,28,153,193,0,0,0,0,0
4461,LAUNCH_CW,2000,1061484,106666,118,28,153,193,0,0,0,0,0
4511,LAUNCH_CW,2000,1066818,106666,118,28,153,193,0,0,0,0,0
4561,LAUNCH_CW,2000,1072174,106666,118,28,153,193,0,0,0,0,0
4611,LAUNCH_CW,2000,1077484,106666,118,28,153,193,0,0,0,0,0
4661,LAUNCH_CW,2000,1082818,106666,108,28,-28,-246,0,0,0,0,0
4711,LAUNCH_CW,2000,1088151,106666,108,28,-28,-246,0,0,0,0,0
4761,LAUNCH_CW,2000,1093484,106666,108,28,-28,-246,0,0,0,0,0
4811,LAUNCH_CW,2000,1098817,106666,108,28,-28,-246,0,0,0,0,0
4861,LAUNCH_CW,2000,1104114,106666,108,28,-28,-246,0,0,0,0,0
4911,LAUNCH_CW,2000,1109484,106666,108,28,-28,-246,0,0,0,0,0
4961,LAUNCH_CW,2000,1114819,106666,108,28,-28,-246,0,0,0,0,0
5011,LAUNCH_CW,2000,1120151,106666,106,28,185,163,0,0,0,0,0
5061,LAUNCH_CW,2000,1125485,106666,106,28,185,163,0,0,0,0,0
5111,LAUNCH_CW,2000,1130817,106666,106,28,185,163,0,0,0,0,0
5161,LAUNCH_CW,2000,1136152,106666,106,28,185,163,0,0,0,0,0
5211,LAUNCH_CW,2000,1141484,106666,106,28,185,163,0,0,0,0,0
5261,LAUNCH_CW,2000,1146818,106666,106,28,185,163,0,0,0,0,0
6545,LAUNCH_CW,2000,1210437,0,14,28,-204,-141,0,0,0,0,0
6595,LAUNCH_CW,2000,1210572,5284,2,28,-204,-141,0,0,0,0,0
6645,LAUNCH_CW,2000,1210963,10423,2,28,-246,27,0,0,0,0,0
6695,LAUNCH_CW,2000,1211605,15458,2,28,-246,27,0,0,0,0,0
6745,LAUNCH_CW,2000,1212498,20330,2,28,-246,27,0,0,0,0,0
6795,LAUNCH_CW,2000,1213641,25437,2,28,-246,27,0,0,0,0,0
6845,LAUNCH_CW,2000,1215033,30360,2,28,-246,27,0,0,0,0,0
6895,LAUNCH_CW,2000,1216677,35320,2,28,-246,27,0,0,0,0,0
6945,LAUNCH_CW,2000,1218569,40404,120,28,215,-122,0,0,0,0,0
6995,LAUNCH_CW,2000,1220712,45325,120,28,215,-122,0,0,0,0,0
